BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	Assay_Type	AssemblyName	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	cell_type	marker_genes	source_name	strain	tissue
SAMN08619909	SRX3749905	8	4	SRR6790714	SRS3006136	GSM3025848	RNA-Seq	GCF_000001635.20	43	PRJNA436229	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2018-03-01	Mus musculus	ILLUMINA	2018-11-23	SRP133642	14 weeks	cancer-associated fibroblasts (CAFs)	EpCAM-, CD45-, CD31-, NG2-	Mammary tumor fibroblast	FVB/N-Tg(MMTVPyVT)634Mul/J	Mammary tumor fibroblast
SAMN08619908	SRX3749906	11	5	SRR6790715	SRS3006149	GSM3025849	RNA-Seq	GCF_000001635.20	43	PRJNA436229	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2018-03-01	Mus musculus	ILLUMINA	2018-11-23	SRP133642	14 weeks	cancer-associated fibroblasts (CAFs)	EpCAM-, CD45-, CD31-, NG2-	Mammary tumor fibroblast	FVB/N-Tg(MMTVPyVT)634Mul/J	Mammary tumor fibroblast
SAMN08619919	SRX3749907	7	4	SRR6790716	SRS3006140	GSM3025850	RNA-Seq	GCF_000001635.20	43	PRJNA436229	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2018-03-01	Mus musculus	ILLUMINA	2018-11-23	SRP133642	14 weeks	cancer-associated fibroblasts (CAFs)	EpCAM-, CD45-, CD31-, NG2-	Mammary tumor fibroblast	FVB/N-Tg(MMTVPyVT)634Mul/J	Mammary tumor fibroblast
SAMN08619918	SRX3749908	18	9	SRR6790717	SRS3006150	GSM3025851	RNA-Seq	GCF_000001635.20	43	PRJNA436229	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2018-03-01	Mus musculus	ILLUMINA	2018-11-23	SRP133642	14 weeks	cancer-associated fibroblasts (CAFs)	EpCAM-, CD45-, CD31-, NG2-	Mammary tumor fibroblast	FVB/N-Tg(MMTVPyVT)634Mul/J	Mammary tumor fibroblast
SAMN08619921	SRX3749909	5	3	SRR6790718	SRS3006142	GSM3025852	RNA-Seq	GCF_000001635.20	43	PRJNA436229	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2018-03-01	Mus musculus	ILLUMINA	2018-11-23	SRP133642	14 weeks	cancer-associated fibroblasts (CAFs)	EpCAM-, CD45-, CD31-, NG2-	Mammary tumor fibroblast	FVB/N-Tg(MMTVPyVT)634Mul/J	Mammary tumor fibroblast
SAMN08619920	SRX3749910	11	6	SRR6790719	SRS3006141	GSM3025853	RNA-Seq	GCF_000001635.20	43	PRJNA436229	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2018-03-01	Mus musculus	ILLUMINA	2018-11-23	SRP133642	14 weeks	cancer-associated fibroblasts (CAFs)	EpCAM-, CD45-, CD31-, NG2-	Mammary tumor fibroblast	FVB/N-Tg(MMTVPyVT)634Mul/J	Mammary tumor fibroblast
SAMN08619914	SRX3749901	15	8	SRR6790720	SRS3006139	GSM3025854	RNA-Seq	GCF_000001635.20	43	PRJNA436229	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2018-03-01	Mus musculus	ILLUMINA	2018-11-23	SRP133642	14 weeks	cancer-associated fibroblasts (CAFs)	EpCAM-, CD45-, CD31-, NG2-	Mammary tumor fibroblast	FVB/N-Tg(MMTVPyVT)634Mul/J	Mammary tumor fibroblast
SAMN08619913	SRX3749911	14	7	SRR6790721	SRS3006151	GSM3025855	RNA-Seq	GCF_000001635.20	43	PRJNA436229	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2018-03-01	Mus musculus	ILLUMINA	2018-11-23	SRP133642	14 weeks	cancer-associated fibroblasts (CAFs)	EpCAM-, CD45-, CD31-, NG2-	Mammary tumor fibroblast	FVB/N-Tg(MMTVPyVT)634Mul/J	Mammary tumor fibroblast
SAMN08619922	SRX3749912	14	7	SRR6790722	SRS3006143	GSM3025856	RNA-Seq	GCF_000001635.20	43	PRJNA436229	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2018-03-01	Mus musculus	ILLUMINA	2018-11-23	SRP133642	14 weeks	cancer-associated fibroblasts (CAFs)	EpCAM-, CD45-, CD31-, NG2-	Mammary tumor fibroblast	FVB/N-Tg(MMTVPyVT)634Mul/J	Mammary tumor fibroblast
SAMN08619928	SRX3749913	14	7	SRR6790723	SRS3006152	GSM3025857	RNA-Seq	GCF_000001635.20	43	PRJNA436229	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2018-03-01	Mus musculus	ILLUMINA	2018-11-23	SRP133642	14 weeks	cancer-associated fibroblasts (CAFs)	EpCAM-, CD45-, CD31-, NG2-	Mammary tumor fibroblast	FVB/N-Tg(MMTVPyVT)634Mul/J	Mammary tumor fibroblast
