experiment	cell	reads	length	unique	multimap	nomap	exonic	intronic	intergenic	rpkm1	max-correlation
SS2_15_0049	SS2_15_0049_A1	108504	43	42.1	14.2	43.7	57.2	26.5	16.3	3951	0.52
SS2_15_0049	SS2_15_0049_A10	729343	43	51.9	13.3	34.8	68.2	7.9	23.9	4744	0.59
SS2_15_0049	SS2_15_0049_A11	738443	43	52.5	13.5	34.0	68.6	7.0	24.4	4653	0.59
SS2_15_0049	SS2_15_0049_A12	717552	43	59.4	16.5	24.1	73.0	5.5	21.5	6113	0.67
SS2_15_0049	SS2_15_0049_A13	724985	43	57.2	14.2	28.6	71.3	5.6	23.1	5584	0.62
SS2_15_0049	SS2_15_0049_A14	502660	43	47.5	11.7	40.9	53.3	23.7	23.0	3787	0.51
SS2_15_0049	SS2_15_0049_A15	527802	43	48.0	10.3	41.7	69.7	15.5	14.8	3796	0.53
SS2_15_0049	SS2_15_0049_A16	626193	43	42.4	9.6	48.0	68.2	5.8	26.0	3402	0.51
SS2_15_0049	SS2_15_0049_A17	501612	43	55.0	15.4	29.6	71.3	8.0	20.7	5145	0.63
SS2_15_0049	SS2_15_0049_A18	526784	43	47.1	9.4	43.4	42.2	34.0	23.8	4284	0.49
SS2_15_0049	SS2_15_0049_A19	656985	43	52.1	15.7	32.2	64.0	13.3	22.7	5413	0.62
SS2_15_0049	SS2_15_0049_A2	198477	43	49.7	14.9	35.4	67.9	6.1	26.0	5125	0.63
SS2_15_0049	SS2_15_0049_A20	45575	43	44.3	10.1	45.6	68.9	17.1	14.0	2583	0.45
SS2_15_0049	SS2_15_0049_A21	770596	43	53.5	10.9	35.7	69.2	7.7	23.1	4678	0.57
SS2_15_0049	SS2_15_0049_A22	686928	43	50.1	15.2	34.7	68.3	7.6	24.1	5222	0.64
SS2_15_0049	SS2_15_0049_A23	555433	43	42.9	9.1	48.0	51.2	20.7	28.1	3524	0.49
SS2_15_0049	SS2_15_0049_A24	619711	43	48.7	15.1	36.3	68.7	6.4	24.9	4803	0.60
SS2_15_0049	SS2_15_0049_A3	529513	43	42.9	13.5	43.6	62.5	10.4	27.2	4492	0.57
SS2_15_0049	SS2_15_0049_A4	376706	43	35.6	8.4	56.1	58.6	12.6	28.8	2741	0.44
SS2_15_0049	SS2_15_0049_A5	570086	43	48.0	12.2	39.8	67.7	7.6	24.8	4225	0.55
SS2_15_0049	SS2_15_0049_A6	409699	43	43.3	14.2	42.5	64.8	9.1	26.2	5102	0.58
SS2_15_0049	SS2_15_0049_A7	779021	43	44.5	10.7	44.8	65.2	8.6	26.2	3773	0.55
SS2_15_0049	SS2_15_0049_A8	311295	43	45.1	10.3	44.6	67.4	6.5	26.1	3677	0.53
SS2_15_0049	SS2_15_0049_A9	440422	43	23.2	8.8	68.0	48.0	5.8	46.2	1169	0.34
SS2_15_0049	SS2_15_0049_B1	480670	43	44.3	11.9	43.9	66.8	7.0	26.2	3858	0.54
SS2_15_0049	SS2_15_0049_B10	441461	43	24.2	28.5	47.2	64.1	2.1	33.8	1004	0.33
SS2_15_0049	SS2_15_0049_B11	502279	43	59.4	17.7	22.9	72.6	5.4	22.0	6170	0.67
SS2_15_0049	SS2_15_0049_B12	533671	43	50.8	10.9	38.2	66.5	9.6	23.9	4265	0.54
SS2_15_0049	SS2_15_0049_B13	540615	43	47.6	12.0	40.4	67.5	6.8	25.7	4201	0.56
SS2_15_0049	SS2_15_0049_B14	347198	43	61.9	17.4	20.6	72.8	10.5	16.7	6164	0.65
SS2_15_0049	SS2_15_0049_B15	256010	43	43.3	10.9	45.8	64.2	8.1	27.7	3425	0.52
SS2_15_0049	SS2_15_0049_B16	478094	43	36.7	5.8	57.4	47.2	25.8	26.9	2247	0.40
SS2_15_0049	SS2_15_0049_B17	407010	43	45.5	11.3	43.2	68.6	6.5	25.0	3805	0.54
SS2_15_0049	SS2_15_0049_B18	474480	43	53.7	15.3	31.0	70.8	6.1	23.1	4882	0.60
SS2_15_0049	SS2_15_0049_B19	579678	43	61.0	13.2	25.8	73.4	11.3	15.3	5827	0.64
SS2_15_0049	SS2_15_0049_B2	323022	43	52.2	15.9	31.9	70.3	6.6	23.1	4906	0.61
SS2_15_0049	SS2_15_0049_B20	416373	43	50.7	13.0	36.3	72.3	12.8	14.9	4414	0.56
SS2_15_0049	SS2_15_0049_B21	626925	43	45.7	10.5	43.8	66.3	8.9	24.8	4291	0.55
SS2_15_0049	SS2_15_0049_B22	620032	43	62.7	13.6	23.8	73.6	9.9	16.5	5777	0.65
SS2_15_0049	SS2_15_0049_B23	514598	43	54.9	14.9	30.2	70.9	5.9	23.1	5448	0.63
SS2_15_0049	SS2_15_0049_B24	515227	43	39.8	14.4	45.7	63.3	8.6	28.2	4150	0.55
SS2_15_0049	SS2_15_0049_B3	518663	43	62.6	13.4	24.0	72.7	8.0	19.3	5868	0.62
SS2_15_0049	SS2_15_0049_B4	108268	43	67.0	26.1	6.8	73.1	10.0	16.9	8238	0.73
SS2_15_0049	SS2_15_0049_B5	610131	43	58.4	15.4	26.2	71.1	7.0	21.9	5370	0.62
SS2_15_0049	SS2_15_0049_B6	495659	43	44.3	10.0	45.7	67.9	6.2	25.9	3752	0.53
SS2_15_0049	SS2_15_0049_B7	547059	43	49.9	11.7	38.4	68.4	8.2	23.4	4442	0.57
SS2_15_0049	SS2_15_0049_B8	251735	43	21.8	4.1	74.1	55.2	3.1	41.7	712	0.28
SS2_15_0049	SS2_15_0049_B9	493272	43	31.8	11.6	56.6	44.3	23.1	32.6	2173	0.40
SS2_15_0049	SS2_15_0049_C1	444432	43	35.5	6.9	57.6	47.4	25.8	26.8	2295	0.41
SS2_15_0049	SS2_15_0049_C10	906365	43	63.0	13.2	23.8	69.3	10.9	19.8	6396	0.65
SS2_15_0049	SS2_15_0049_C11	634553	43	34.7	10.4	54.9	66.3	3.4	30.3	2811	0.48
SS2_15_0049	SS2_15_0049_C12	789101	43	65.6	12.7	21.7	71.8	8.0	20.2	6078	0.64
SS2_15_0049	SS2_15_0049_C13	735480	43	45.9	17.3	36.8	72.0	2.9	25.1	3141	0.51
SS2_15_0049	SS2_15_0049_C14	486699	43	58.1	13.7	28.2	71.5	6.2	22.3	4966	0.59
SS2_15_0049	SS2_15_0049_C15	548593	43	56.9	15.5	27.6	69.2	9.4	21.4	4753	0.58
SS2_15_0049	SS2_15_0049_C16	761789	43	66.3	14.1	19.7	74.3	10.3	15.5	6147	0.66
SS2_15_0049	SS2_15_0049_C17	491374	43	56.7	18.5	24.8	66.7	17.4	15.9	6156	0.64
SS2_15_0049	SS2_15_0049_C18	740665	43	48.3	10.5	41.2	70.8	5.2	24.1	4062	0.55
SS2_15_0049	SS2_15_0049_C19	685851	43	63.8	12.9	23.3	72.8	11.6	15.6	6085	0.62
SS2_15_0049	SS2_15_0049_C2	390360	43	44.5	11.2	44.3	65.6	10.8	23.6	4420	0.56
SS2_15_0049	SS2_15_0049_C20	552129	43	53.2	12.3	34.6	70.4	7.9	21.7	4427	0.56
SS2_15_0049	SS2_15_0049_C21	794107	43	51.2	9.6	39.2	69.2	6.7	24.2	3938	0.54
SS2_15_0049	SS2_15_0049_C22	821145	43	56.9	13.6	29.5	70.6	7.7	21.7	5435	0.62
SS2_15_0049	SS2_15_0049_C23	606563	43	34.0	10.0	56.0	67.9	4.0	28.1	2093	0.43
SS2_15_0049	SS2_15_0049_C24	648865	43	19.7	3.5	76.8	56.5	2.8	40.7	681	0.29
SS2_15_0049	SS2_15_0049_C3	807282	43	53.2	12.1	34.7	71.4	5.0	23.6	4517	0.59
SS2_15_0049	SS2_15_0049_C4	328992	43	51.9	11.6	36.5	70.6	14.5	15.0	3992	0.54
SS2_15_0049	SS2_15_0049_C5	623470	43	55.6	13.3	31.0	73.9	4.7	21.4	4700	0.60
SS2_15_0049	SS2_15_0049_C6	745837	43	60.1	15.3	24.6	74.0	4.5	21.5	5947	0.65
SS2_15_0049	SS2_15_0049_C7	860155	43	61.8	12.5	25.7	75.4	4.2	20.4	5287	0.63
SS2_15_0049	SS2_15_0049_C8	501308	43	56.8	13.8	29.4	70.9	6.6	22.5	5120	0.61
SS2_15_0049	SS2_15_0049_C9	795730	43	46.0	11.4	42.6	67.6	7.0	25.4	3615	0.53
SS2_15_0049	SS2_15_0049_D1	609925	43	46.8	11.9	41.2	68.9	5.5	25.6	3809	0.54
SS2_15_0049	SS2_15_0049_D10	777290	43	53.2	12.3	34.5	69.9	7.3	22.7	4446	0.57
SS2_15_0049	SS2_15_0049_D11	547290	43	21.6	3.8	74.6	54.7	4.4	41.0	1265	0.33
SS2_15_0049	SS2_15_0049_D12	728252	43	60.2	15.1	24.6	73.1	4.7	22.2	5026	0.61
SS2_15_0049	SS2_15_0049_D13	694847	43	47.3	10.1	42.7	64.6	11.4	23.9	4003	0.53
SS2_15_0049	SS2_15_0049_D14	506212	43	34.9	13.2	51.9	57.0	12.7	30.3	2834	0.43
SS2_15_0049	SS2_15_0049_D15	333216	43	56.3	15.2	28.5	71.6	12.7	15.7	4681	0.59
SS2_15_0049	SS2_15_0049_D16	645409	43	54.4	11.5	34.1	70.0	8.8	21.3	4875	0.57
SS2_15_0049	SS2_15_0049_D17	431059	43	57.9	17.1	25.0	72.1	12.2	15.7	5503	0.61
SS2_15_0049	SS2_15_0049_D18	440474	43	47.6	10.5	41.9	68.1	6.8	25.1	3713	0.52
SS2_15_0049	SS2_15_0049_D19	564467	43	68.5	13.4	18.1	74.2	10.8	15.0	6251	0.66
SS2_15_0049	SS2_15_0049_D2	411784	43	42.4	10.1	47.5	69.5	5.5	25.0	3246	0.49
SS2_15_0049	SS2_15_0049_D20	358864	43	39.4	7.8	52.8	65.5	7.1	27.4	2788	0.46
SS2_15_0049	SS2_15_0049_D21	768842	43	54.0	11.8	34.1	72.3	4.6	23.1	4626	0.60
SS2_15_0049	SS2_15_0049_D22	617964	43	36.9	9.9	53.2	55.6	16.6	27.9	3116	0.48
SS2_15_0049	SS2_15_0049_D23	320587	43	55.3	10.4	34.3	69.7	7.4	22.9	4825	0.59
