"exonreads"	"unique"	"exonic"	"rpkm1"	"max.correlation"	"reason"
"SS2_15_0048__A23"	4544.237334	13.3	8.6	1267	0.31	"exonreads:unique:exonic:max.correlation"
"SS2_15_0048__D20"	34538.955536	24.8	39.7	778	0.3	"unique:rpkm1:max.correlation"
"SS2_15_0048__E2"	32687.770986	28.9	30.6	1079	0.27	"exonic:rpkm1:max.correlation"
"SS2_15_0048__G5"	64909.772424	25.2	65.3	813	0.27	"unique:rpkm1:max.correlation"
"SS2_15_0048__H17"	24287.758254	17.1	30.3	579	0.26	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0048__I24"	36721.10931	23	38.3	344	0.26	"unique:rpkm1:max.correlation"
"SS2_15_0048__J24"	35555.43873	20.1	33.5	421	0.25	"unique:rpkm1:max.correlation"
"SS2_15_0048__K20"	25068.108	26.3	25	1103	0.22	"exonic:rpkm1:max.correlation"
"SS2_15_0048__K24"	58497.370508	23.3	41.2	375	0.25	"unique:rpkm1:max.correlation"
"SS2_15_0048__L24"	12536.756298	19.8	26.9	288	0.26	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0048__M24"	20369.816324	20.9	24.7	374	0.25	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0048__N24"	17453.573934	19.7	23.9	331	0.26	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0048__O24"	48953.481588	19.8	37.4	318	0.25	"unique:rpkm1:max.correlation"
"SS2_15_0048__P24"	32971.913598	20.6	33.9	274	0.26	"unique:rpkm1:max.correlation"
"SS2_15_0049__A9"	24421.68198	23	24.6	771	0.33	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__B10"	62794.5744	24.1	60.8	609	0.29	"unique:rpkm1:max.correlation"
"SS2_15_0049__B8"	18417.062016	21.6	34.8	388	0.26	"unique:rpkm1:max.correlation"
"SS2_15_0049__C24"	44516.4804	19.6	36.5	372	0.25	"unique:rpkm1:max.correlation"
"SS2_15_0049__D11"	40309.060116	21.4	35.3	732	0.27	"unique:rpkm1:max.correlation"
"SS2_15_0049__E17"	42366.533248	20.8	38.8	667	0.26	"unique:rpkm1:max.correlation"
"SS2_15_0049__E18"	22872.44677	20.6	27.7	906	0.26	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__E20"	51543.345	19.6	57.5	552	0.28	"unique:rpkm1:max.correlation"
"SS2_15_0049__F5"	41177.368448	24.8	27.2	1332	0.25	"unique:exonic:max.correlation"
"SS2_15_0049__H18"	104749.273354	24.2	62.9	885	0.31	"unique:rpkm1:max.correlation"
"SS2_15_0049__H4"	60536.80776	23	63.6	491	0.29	"unique:rpkm1:max.correlation"
"SS2_15_0049__H6"	105728.368392	22.8	63.4	733	0.31	"unique:rpkm1:max.correlation"
"SS2_15_0049__I24"	22897.395045	18.1	28.5	256	0.26	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__I8"	25451.432384	22.4	36.7	423	0.25	"unique:rpkm1:max.correlation"
"SS2_15_0049__J11"	37192.844304	19.8	32.8	622	0.27	"unique:rpkm1:max.correlation"
"SS2_15_0049__J24"	37147.268752	19.7	32.3	353	0.25	"unique:rpkm1:max.correlation"
"SS2_15_0049__K15"	42203.320488	24.3	35.7	855	0.28	"unique:rpkm1:max.correlation"
"SS2_15_0049__K24"	2670.08596	15.2	9.5	244	0.25	"exonreads:unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__K5"	7404.0219	11.6	11.1	540	0.25	"exonreads:unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__K7"	70351.49222	23.5	38.2	958	0.31	"unique:rpkm1:max.correlation"
"SS2_15_0049__L21"	25380.82656	24	25.7	1109	0.33	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__L24"	4417.943751	16.9	16.7	198	0.26	"exonreads:unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__L6"	33585.466824	20.7	56.8	432	0.27	"unique:rpkm1:max.correlation"
"SS2_15_0049__M1"	42622.527018	21.4	35.9	540	0.25	"unique:rpkm1:max.correlation"
"SS2_15_0049__M20"	48940.415888	20.8	51.1	558	0.25	"unique:rpkm1:max.correlation"
"SS2_15_0049__M24"	20790.71306	14.5	22.9	375	0.26	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__M5"	46628.235204	21.9	36.7	724	0.26	"unique:rpkm1:max.correlation"
"SS2_15_0049__N20"	12368.906784	23.4	27.2	570	0.28	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__N21"	7983.002196	23.3	15.6	2533	0.43	"exonreads:unique:exonic"
"SS2_15_0049__N24"	8210.91572	16.7	17.8	230	0.25	"exonreads:unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__N4"	13301.619624	18.4	27.9	418	0.24	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__N9"	5780.79475	14.5	8.9	1720	0.37	"exonreads:unique:exonic"
"SS2_15_0049__O13"	68703.447302	25.4	61.7	634	0.3	"unique:rpkm1:max.correlation"
"SS2_15_0049__O24"	30344.59897	20.5	32.2	313	0.27	"unique:rpkm1:max.correlation"
"SS2_15_0049__O6"	30534.812676	20.6	34.2	540	0.27	"unique:rpkm1:max.correlation"
"SS2_15_0049__P1"	15525.216	19.2	25.5	423	0.24	"unique:exonic:rpkm1:max.correlation"
"SS2_15_0049__P20"	19528.60185	18.5	34.2	360	0.25	"unique:rpkm1:max.correlation"
"SS2_15_0049__P24"	24313.51359	18.6	28.5	253	0.26	"unique:exonic:rpkm1:max.correlation"
